    RA(°)      Dec      Pos      Distance(kpc)  
      10.3802     -70.7199      -17.915485       2.4978768
      10.4106     -70.2333      -15.151241       2.9717014
      10.4125     -73.1009      -92.311947      0.66731981
      10.4132     -72.2738      -40.822496       1.0680194
      10.4219     -71.5989      -25.830705       1.6551181
      10.4364     -71.9528      -31.834471       1.3331669
      10.4536     -72.8876      -74.088818      0.68914336
      10.4544     -70.5504      -16.395543       2.6568378
      10.4595     -73.0888      -91.240838      0.65359072
      10.4628     -73.3072      -110.01259      0.68570257
      10.5001     -73.5679      -128.56769      0.79788896
      10.5183     -73.0084      -83.953513      0.64269469
      10.5187     -72.9216      -76.400713      0.66068645
      10.5521     -72.8198      -67.884466      0.68641192
      10.5660     -72.3024      -39.775289       1.0163189
      10.5709     -71.2378      -20.296520       1.9789874
      10.5715     -71.0912      -19.035040       2.1200614
      10.5737     -72.5072      -48.117689      0.86036551
      10.5775     -70.9013      -17.590234       2.3036539
      10.5938     -72.8564      -70.366355      0.66058982
      10.6205     -73.0622      -88.641613      0.60725699
      10.6207     -72.0131      -30.931697       1.2517953
      10.6328     -72.8007      -65.544101      0.67285472
      10.6497     -71.1857      -19.136829       2.0213011
      10.6740     -71.6582      -24.030878       1.5686842
      10.6740     -72.8841      -71.943355      0.62831282
      10.7016     -71.5843      -22.759187       1.6349108
      10.7135     -71.3047      -19.614134       1.9004210
      10.7153     -72.4578      -43.763878      0.86631048
      10.7288     -72.6521      -53.881039      0.72882264
      10.7321     -71.0541      -17.393231       2.1413372
      10.7375     -72.6369      -52.812073      0.73634594
      10.7460     -71.4315      -20.552914       1.7753760
      10.7527     -71.0580      -17.246626       2.1357357
      10.7679     -72.3487      -38.548822      0.94152051
      10.7714     -74.1213      -153.36448       1.1787670
      10.7750     -72.2689      -35.699229       1.0061341
      10.7899     -71.6024      -22.053659       1.6079188
      10.8188     -73.3793      -119.42926      0.61859221
      10.8212     -73.8277      -145.30320      0.92042799
      10.8235     -70.5891      -13.952846       2.5903551
      10.8428     -72.5317      -45.301556      0.78519516
      10.8606     -72.3970      -38.966659      0.88548795
      10.8737     -72.7431      -57.985733      0.63959939
      10.8778     -70.9665      -15.582885       2.2148084
      10.8860     -71.9424      -26.121112       1.2784093
      10.8874     -73.3854      -120.81659      0.60404716
      10.8980     -74.2020      -156.58898       1.2358392
      10.9101     -71.8455      -24.132287       1.3652962
      10.9185     -73.3099      -114.46715      0.56252832
      10.9292     -72.3478      -36.029142      0.91357557
      10.9334     -73.0085      -82.112875      0.52153024
      10.9501     -72.6403      -49.665646      0.68534317
      10.9519     -70.2371      -11.645981       2.9310824
      10.9538     -74.0223      -153.20095       1.0667335
      10.9564     -72.9390      -74.496056      0.53116114
      10.9597     -74.3062      -159.18231       1.3253956
      10.9779     -70.5121      -12.501223       2.6561931
      11.0028     -72.5901      -45.756707      0.70909577
      11.0090     -71.4059      -17.693940       1.7747391
      11.0138     -73.1837      -102.10898      0.49904606
      11.0198     -73.5507      -134.96480      0.67256770
      11.0210     -73.1571      -99.085532      0.49276293
      11.0437     -73.0807      -90.046859      0.48206200
      11.0517     -71.7222      -20.651615       1.4659308
      11.0597     -72.7188      -53.145638      0.60895641
      11.0663     -71.4354      -17.383851       1.7409949
      11.0869     -71.0295      -14.204609       2.1369886
      11.0984     -73.2623      -111.68810      0.49625336
      11.1011     -70.9305      -13.523483       2.2337380
      11.1145     -71.4834      -17.327732       1.6901664
      11.1152     -71.6079      -18.573292       1.5694710
      11.1181     -71.6445      -18.945839       1.5338917
      11.1190     -72.6917      -50.109171      0.61280702
      11.1198     -72.5184      -39.870691      0.74016691
      11.1372     -73.9637      -154.17295      0.99048599
      11.1377     -71.4501      -16.783420       1.7205263
      11.1519     -73.2922      -115.61415      0.49326169
      11.1560     -72.4030      -34.257833      0.82868459
      11.1751     -72.5898      -42.564025      0.67401523
      11.1993     -75.3050      -170.38670       2.2779004
      11.2122     -73.8818      -152.95845      0.90758391
      11.2164     -72.9962      -78.745841      0.44188456
      11.2207     -72.7375      -51.597628      0.55952736
      11.2233     -72.8809      -64.967559      0.47919343
      11.2245     -70.8894      -12.295848       2.2663372
      11.2288     -70.5247      -10.744196       2.6288331
      11.2297     -70.3761      -10.233640       2.7770618
      11.2335     -74.2346      -161.13203       1.2306299
      11.2375     -73.4472      -131.57511      0.55628896
      11.2393     -73.6039      -142.01585      0.66913425
      11.2397     -70.8114      -11.809616       2.3428679
      11.2522     -73.8241      -151.75591      0.85112847
      11.2572     -70.1986      -9.5173663       2.9530435
      11.2773     -70.6647      -10.905844       2.4866476
      11.2844     -73.3741      -126.11627      0.50056080
      11.3015     -70.1297      -9.0443927       3.0198244
      11.3312     -72.8794      -62.988495      0.45137809
      11.3385     -74.3383      -163.87436       1.3205986
