    RA(°)      Dec      Pos      Distance(kpc)  
      17.4897     -73.5146       109.50201       1.4603791
      17.7619     -73.5666       110.64724       1.5494399
      16.6705     -73.9501       129.25177       1.4372950
      17.3411     -74.1496       131.19331       1.7065094
      17.5723     -74.1293       129.40277       1.7463440
      16.7692     -74.1193       133.78039       1.5634796
      16.5255     -73.9569       130.43604       1.4086225
      16.4000     -73.9653       131.58415       1.3859127
      15.9948     -74.0371       136.98254       1.3481219
      17.2398     -73.6348       114.95669       1.4293730
      16.4435     -73.7669       124.17103       1.2828235
      15.0623     -73.7435       135.17682      0.95430375
      14.8987     -73.9205       144.02124       1.0550709
      15.1339     -73.9923       143.68652       1.1527158
      15.4464     -74.2129       146.68749       1.3825475
      15.7335     -74.2056       143.94459       1.4246872
      16.0865     -74.2025       140.96296       1.4855805
      15.4983     -74.1999       145.88534       1.3803871
      15.7677     -74.3355       146.75915       1.5344787
      16.2546     -74.3252       142.72812       1.6089720
      16.6263     -74.2050       137.08518       1.5915277
      16.5108     -74.0982       134.91765       1.4953395
      16.3682     -74.5656       146.99465       1.8180504
      16.4247     -74.1123       135.93458       1.4870527
      15.9378     -74.0814       138.79302       1.3683914
      16.9162     -74.0066       129.51151       1.5261671
      16.6188     -74.0322       132.19838       1.4755814
      16.2097     -74.0932       136.97171       1.4303187
      16.0741     -74.1609       139.94782       1.4524517
      15.9616     -74.4280       147.20558       1.6410184
      14.3077     -74.2742       159.75064       1.2851746
      14.3694     -74.3371       160.08971       1.3504992
      14.0575     -74.2921       162.90353       1.2786702
      14.5786     -74.2076       155.44859       1.2541228
      14.6481     -73.9736       148.80522       1.0579923
      15.3154     -73.9098       139.00422       1.1232416
      14.9769     -74.1363       149.43890       1.2456131
      14.3208     -74.2482       159.15696       1.2622297
      13.3052     -74.0830       170.29354       1.0220354
      14.0357     -74.0420       158.81730       1.0396055
      13.6768     -74.1851       166.17829       1.1451027
      13.5365     -74.1015       167.04880       1.0537230
      12.9853     -74.3450       176.29484       1.2740819
      13.7950     -74.3234       166.37627       1.2885515
      13.6817     -74.2847       167.30207       1.2430441
      13.9325     -74.4392       166.11774       1.4111778
      13.6807     -74.6319       170.30446       1.5859573
      14.3561     -74.1908       157.68719       1.2126968
      14.4149     -74.0258       153.26228       1.0700940
      14.7380     -74.0005       148.48334       1.0944654
      14.3527     -73.9249       151.30821      0.97271928
      14.9444     -73.5072       123.98144      0.78196677
      15.3498     -73.6084       125.59148      0.93464027
      15.2352     -73.5673       124.49118      0.88470078
      15.5159     -73.6605       126.64375       1.0031061
      15.3291     -73.8542       136.81503       1.0859172
      15.6299     -74.0976       141.93846       1.3226890
      15.1008     -74.0786       146.59190       1.2166588
      14.7986     -73.7532       138.84082      0.90833611
      13.8143     -73.8011       156.25702      0.79175245
      13.8278     -73.8091       156.25386      0.80067449
      14.8306     -73.7371       137.71691      0.90290219
      14.5760     -73.4789       126.66407      0.67781612
      14.7473     -73.4740       124.09294      0.71617664
      15.1882     -73.5859       125.98918      0.88361960
      14.5230     -73.5706       133.38724      0.72332574
      14.4602     -73.5471       132.91246      0.69419853
      14.0558     -73.5664       141.26720      0.62697707
      13.2958     -73.6336       162.50871      0.58014755
      13.9474     -73.7141       150.67743      0.73130648
      13.4773     -73.8057       162.91281      0.76143008
      12.9251     -73.8664       175.07464      0.79078249
      12.7251     -73.6771       178.85964      0.59654532
      13.3339     -73.7549       164.78305      0.70063032
      12.9761     -73.7213       172.63314      0.64666550
      12.6764     -73.4611      -179.70093      0.37815405
      13.5317     -73.4116       143.43351      0.41076053
      13.1381     -73.2030       131.59986      0.17758807
      14.0987     -73.1584       100.55791      0.42142875
      13.9928     -73.0907       91.208208      0.38487002
      14.2473     -73.5927       139.19805      0.68299402
      13.2707     -73.5381       159.78716      0.48676910
      12.5182     -73.3026      -167.60651      0.22325773
      13.3842     -73.2868       134.93904      0.28769833
      13.3905     -73.0846       89.730756      0.20790652
      13.3105     -73.2591       133.80022      0.25291346
      13.0534     -73.1854       132.74176      0.14728131
      11.8089     -73.4628      -146.62317      0.45710239
      11.6970     -73.1307      -99.174717      0.29292487
      11.8950     -73.7609      -161.92888      0.71801777
      12.2272     -73.7312      -168.79273      0.66425880
      11.7074     -74.1033      -165.29740       1.0640904
      11.8739     -73.9663      -165.76161      0.91831422
      12.0207     -74.0457      -169.25702      0.98717371
      12.0596     -74.0564      -169.98787      0.99574214
      12.5461     -74.0681      -177.80221      0.99226557
      12.6297     -74.2218      -179.26400       1.1468427
      12.7165     -74.0908       179.48116       1.0144921
      12.9091     -74.2873       177.08367       1.2146629
      12.9203     -74.1817       176.62362       1.1083482
      12.1196     -73.8397      -168.24126      0.77781529
      12.7523     -73.9179       178.68242      0.83991377
      14.0606     -73.6613       146.20989      0.70387028
      14.5192     -74.0987       153.74530       1.1487553
      13.9310     -74.0042       159.52809      0.99326606
      13.3276     -73.8263       166.37598      0.76985571
      13.4388     -73.9746       166.79902      0.92276262
      12.7589     -73.7841       178.26677      0.70483231
      12.9836     -73.8308       173.58915      0.75664685
      13.5409     -73.6871       158.19265      0.65511601
      12.9117     -73.8068       174.94395      0.73038638
