 0.265287199E+01 -0.350974138E-01 -0.758152724E+02 -0.237857491E+02  0.794589038E+02 -0.283758492E+01  0.836198807E+00  0.490097280E-02  0.175347004E+02  0.221300010E-02  0.392154062E-02  0.343173514E-02  0.442795753E-02  0.303879058E-02  0.499683484E-02  0.996078459E+00  0.995566692E+00  0.996563893E+00  0.994968299E+00  0.996950549E+00
 0.265278999E+01 -0.350024228E-01 -0.760973401E+02 -0.234593176E+02  0.796313051E+02 -0.284255659E+01  0.385400772E+00  0.272773057E-01  0.202499008E+02  0.171200000E-01  0.388859176E-02  0.340287621E-02  0.439085181E-02  0.301314316E-02  0.495513806E-02  0.996111408E+00  0.995603859E+00  0.996592799E+00  0.995010288E+00  0.996976226E+00
 0.265267354E+01 -0.347484470E-01 -0.764981807E+02 -0.225862692E+02  0.797628435E+02 -0.285449715E+01  0.435199738E+00  0.137574533E-01  0.194944000E+02  0.892800000E-02  0.386368337E-02  0.338105994E-02  0.436280008E-02  0.299375550E-02  0.492361398E-02  0.996136317E+00  0.995631957E+00  0.996614651E+00  0.995042033E+00  0.996995638E+00
 0.264967290E+01 -0.340707603E-01 -0.868150934E+02 -0.202642362E+02  0.891487505E+02 -0.291228009E+01  0.479999542E+00  0.679646390E-02  0.181553001E+02  0.307599990E-02  0.250295270E-02  0.218880549E-02  0.282812559E-02  0.193535685E-02  0.319682651E-02  0.997497047E+00  0.997168969E+00  0.997808616E+00  0.996780906E+00  0.998056026E+00
 0.265013203E+01 -0.334280767E-01 -0.852381523E+02 -0.180527598E+02  0.871288972E+02 -0.293288476E+01  0.553199768E+00  0.770483120E-02  0.186515999E+02  0.458200000E-02  0.273773744E-02  0.239439433E-02  0.309300185E-02  0.211769682E-02  0.349517704E-02  0.997262263E+00  0.996903718E+00  0.997602639E+00  0.996480469E+00  0.997873238E+00
 0.264924899E+01 -0.311322460E-01 -0.882798190E+02 -0.101601011E+02  0.888625574E+02 -0.302700706E+01  0.721599579E+00  0.974662880E-02  0.186709003E+02  0.440699980E-02  0.253465343E-02  0.221656195E-02  0.286389261E-02  0.195997014E-02  0.323712191E-02  0.997465347E+00  0.997133152E+00  0.997780813E+00  0.996740329E+00  0.998031349E+00
 0.265028360E+01 -0.342652298E-01 -0.847150691E+02 -0.209312150E+02  0.872625848E+02 -0.289936616E+01  0.607200623E+00  0.232568476E-01  0.199225998E+02  0.115329996E-01  0.272137351E-02  0.238006406E-02  0.307454245E-02  0.210498469E-02  0.347438932E-02  0.997278626E+00  0.996922204E+00  0.997616997E+00  0.996501402E+00  0.997885980E+00
 0.265081300E+01 -0.339845435E-01 -0.828957469E+02 -0.199644519E+02  0.852659615E+02 -0.290525540E+01  0.516500473E+00  0.936585660E-02  0.185352001E+02  0.492599980E-02  0.297902029E-02  0.260571231E-02  0.336515088E-02  0.230519376E-02  0.380157597E-02  0.997020980E+00  0.996631172E+00  0.997391126E+00  0.996171926E+00  0.997685328E+00
 0.265043431E+01 -0.332651797E-01 -0.841993193E+02 -0.174917223E+02  0.859970099E+02 -0.293676421E+01  0.759601593E+00  0.159254372E-01  0.188367004E+02  0.709000000E-02  0.288130465E-02  0.252012726E-02  0.325494193E-02  0.222924731E-02  0.367751442E-02  0.997118695E+00  0.996741543E+00  0.997476730E+00  0.996296856E+00  0.997761436E+00
 0.265029388E+01 -0.328351285E-01 -0.846831445E+02 -0.160132265E+02  0.861838638E+02 -0.295470355E+01  0.106470108E+01  0.407436300E-02  0.166308994E+02  0.134400000E-02  0.285697057E-02  0.249881504E-02  0.322749517E-02  0.221033718E-02  0.364661416E-02  0.997143029E+00  0.996769030E+00  0.997498047E+00  0.996327972E+00  0.997780388E+00
