    RA(°)      Dec      Pos      Distance(kpc)  
      7.39548     -71.9452      -56.840467       1.9755171
      7.69732     -72.1503      -60.236041       1.7768597
      7.87863     -72.0542      -56.647676       1.7888559
      8.08248     -72.2463      -60.695793       1.6239242
      7.50074     -72.5014      -71.588292       1.6573738
      7.84731     -71.9509      -54.300459       1.8622932
      8.11523     -71.9259      -51.981756       1.8159676
      8.25046     -71.9108      -50.711631       1.7952811
      7.76394     -71.9981      -55.948626       1.8520135
      8.20799     -71.7983      -48.483926       1.8847374
      8.43127     -71.8985      -49.150083       1.7632827
      7.38383     -71.7131      -51.940486       2.1312398
      7.75062     -71.7307      -50.078337       2.0350724
      7.50094     -71.4347      -46.192582       2.3075170
      7.83362     -71.4122      -43.769640       2.2557404
      9.15379     -71.2637      -32.340921       2.1404013
      9.21584     -71.6896      -38.563595       1.7648081
      8.98713     -71.6996      -40.638919       1.7995144
      8.29354     -71.5934      -43.830959       2.0206840
      8.42614     -71.6815      -44.557511       1.9253866
      8.90168     -71.5041      -37.815628       1.9758886
      8.46024     -71.4882      -40.814299       2.0712535
      8.82991     -71.6159      -40.305303       1.8971713
      8.55392     -71.5522      -41.237352       2.0015405
      8.34568     -71.4526      -41.029891       2.1220700
      8.30343     -71.3494      -39.692852       2.2142088
      8.89810     -71.1922      -33.310568       2.2440725
      8.52003     -71.2283      -36.459390       2.2764474
      7.99140     -71.1978      -39.544956       2.3977729
      7.48097     -71.3134      -44.381700       2.4051434
      7.46703     -71.3873      -45.622601       2.3508692
      8.00699     -71.2717      -40.498078       2.3340217
      7.83120     -71.3199      -42.335291       2.3293089
      7.62946     -71.3674      -44.325393       2.3324589
      7.18222     -71.3610      -46.863183       2.4313271
      6.95132     -71.4394      -49.423323       2.4237393
      6.86474     -71.2201      -46.485863       2.6061572
      6.86879     -71.2559      -46.989622       2.5781348
      6.95586     -71.2002      -45.702467       2.6021187
      7.33853     -71.1439      -42.757205       2.5679237
      7.03979     -71.1772      -44.911337       2.6024540
      8.11384     -70.9480      -35.597311       2.5871865
      8.13975     -71.1376      -37.779000       2.4208038
      7.81479     -71.2970      -42.093676       2.3508398
      6.69617     -70.7880      -41.796644       2.9825513
      6.35778     -71.0629      -46.929254       2.8346202
      6.17001     -71.4225      -53.158948       2.6149663
      6.89747     -71.5694      -51.956149       2.3434536
      7.02385     -71.8169      -56.063569       2.1477332
      9.66431     -72.0778      -43.295848       1.3682621
      9.50068     -72.3493      -53.571404       1.2112769
      9.52430     -72.3915      -54.947039       1.1789596
      9.02423     -72.2361      -53.796257       1.3970208
      9.15694     -72.2842      -54.285723       1.3345789
      10.4335     -72.1323      -36.240600       1.1795415
      10.9438     -72.2638      -33.019706      0.98239591
      7.59941     -72.8289      -82.618218       1.5273029
      7.54726     -72.8370      -83.037221       1.5408106
      7.56347     -72.3985      -68.081327       1.6841411
      8.21653     -72.8024      -79.894506       1.3541522
      8.78091     -72.5276      -66.010192       1.2948649
      7.81669     -72.2531      -62.435675       1.6888986
      7.83209     -71.9821      -55.143407       1.8456983
      7.77728     -72.2754      -63.302973       1.6873341
      7.65993     -72.5019      -70.925359       1.6128621
      7.76989     -72.4389      -68.370090       1.6095576
      7.84667     -72.6356      -74.754507       1.5100259
      9.08410     -70.7274      -27.069456       2.6367489
      9.34470     -71.1233      -29.182442       2.2375232
      9.01883     -71.0444      -30.672667       2.3566602
      9.19543     -70.9467      -28.377970       2.4196799
      9.53692     -71.0182      -26.615603       2.3075384
      11.2135     -71.0657      -13.315515       2.0924285
      11.3993     -71.0322      -11.508047       2.1138781
      11.0769     -71.1169      -14.835713       2.0516564
      11.0560     -70.5489      -12.089361       2.6148199
      10.8137     -70.5318      -13.758390       2.6476398
      10.4612     -70.8057      -17.858263       2.4070496
      10.5143     -71.0705      -19.350756       2.1455515
      10.0304     -70.8657      -21.548142       2.3919453
      9.83733     -71.1176      -25.307831       2.1765170
      9.17277     -70.5089      -24.719761       2.8294113
      10.6534     -70.6582      -15.544174       2.5350693
      10.7362     -70.5414      -14.354954       2.6437396
      10.1516     -70.3677      -17.480686       2.8613253
      2.12560     -72.3842      -82.437767       3.2398636
      2.22946     -72.1996      -79.151604       3.2711883
      2.03241     -72.5855      -86.052884       3.2114296
      1.95600     -72.7750      -89.490205       3.1925844
      1.95427     -72.7166      -88.454241       3.2046494
      1.93675     -73.0869      -95.144370       3.1545880
      1.97342     -73.0223      -93.943996       3.1503473
      1.44819     -72.8554      -91.363210       3.3276438
      18.0376     -70.9468       40.252903       2.7300982
      17.9162     -70.7485       37.292150       2.8744100
      18.8011     -71.3022       49.291092       2.6099933
      18.0866     -71.4870       48.375680       2.3161452
      18.0092     -71.4944       48.052055       2.2937022
      18.9368     -71.4162       51.778620       2.5587892
      18.1349     -71.4607       48.207634       2.3460948
      18.2973     -72.0291       60.548170       2.0069875
      19.2840     -71.8180       60.656279       2.3827176
      18.8479     -71.8242       58.771575       2.2682941
      19.0436     -71.9888       63.147939       2.2231338
      3.41954     -73.7171      -107.80949       2.7454327
      3.87692     -73.8002      -110.06168       2.6332102
      12.7298     -70.3530      0.32786352       2.7622304
      12.8105     -70.2258      0.86208400       2.8909580
      12.1388     -70.6553      -4.2447788       2.4626948
      12.3437     -70.7446      -2.7383687       2.3688988
      12.1784     -70.6302      -3.9019707       2.4871266
      12.2904     -70.6024      -3.0083661       2.5131787
      12.4146     -70.7456      -2.1682820       2.3669365
      12.5684     -70.7253     -0.92074793       2.3862950
      13.1237     -70.5086       3.2636488       2.6086172
      12.4624     -70.5991      -1.6897833       2.5144411
      12.8676     -70.4169       1.3262764       2.6982057
      12.4909     -70.3319      -1.3469820       2.7841084
      11.3996     -70.5332      -9.5293895       2.6114702
      11.0248     -70.5716      -12.409820       2.5942149
      11.2170     -70.7008      -11.510860       2.4541032
      11.2481     -70.6922      -11.237508       2.4608746
      11.4553     -70.8582      -10.262374       2.2840637
